dato,predicciones
elena vera con su apoyo vamos a lograrlo,positivo
asi estaremos jijiji,negativo
estiempodemujeres ,negativo
arlen sandoval es tiempo de un cambio,positivo
exelente buen principio  buena base y un optimo comienzo saludos bendiciones,positivo
sergio landeros saludos bonito dia,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
es hora del cambio es hora de claudiadelgadillo,negativo
alicia mejia gracias,positivo
jalisco justo y prospero,positivo
con morena nos ira mejor esta mas que claro,negativo
que pase buenas noches,positivo
tenemos fe en usted,positivo
que hace un personaje tan oscuro como manuel cota aqui en jalisco el no es de nuestro estado fuera junto contigo,negativo
nuestro bello estado votara por morena,positivo
voto por claudia delgadillo y por morena,positivo
mi voto seguro ya esta para claudia,negativo
vamos con todo,negativo
todo el apoyo para usted,positivo
venga con todo claudia dios esta contigo con morena y con nosotros juntos por el cambio,positivo
no sera no sera gobernadora claudia,negativo
con todo,negativo
trataron de detener el ferrocarril ahora es imparable y el pueblo ya tomo su lugar en los asientos del protagonismo transformador la apoyo,negativo
mi admiracion y respeto es usted vamos arriba sera  nuestra proxima gobernadora,positivo
claudia delgadillo como la primera gobernadora jalisco,negativo
temor  segun ellos no la apoyo,positivo
voto masivo morena y partidos aliados,negativo
mujer de territorio no de escritorio,negativo
si se pudo si se pudo que se agarre movimiento ciudadano porque les vamos a ganar,negativo
claudiadelgadillo voto masivo por morena,positivo
tepa presente ,negativo
yo con todo  vamos unidos podemos,positivo
yo soy morena porque es la confianza vamos mi claudia con todo eres la elegida  un exito,positivo
cuidado con los corruptos que traen,positivo
claudia usted sera nuestra gobernadora,negativo
en cada rincon de nuestro estado la apoyamos,positivo
claudia delgadillo estamos contigo,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
claudiadelgadillo  no hay mas ella va a ganar,negativo
gomez farias jalisco somosmorena claudiadelgadillogobernadora claudiasheinbaumpresidenta2024,negativo
apliquemos el plan c  votemos este 2 de junio por sigamos haciendo historia con los partidos morena partido del trabajo partido verde hagamos y futurovotemos este 2 de junio por sigamos haciendo historia con los partidos morena partido del trab ver mas,negativo
las mujeres en el centro,negativo
vamos todos con claudiadelgadillo,negativo
morena arriba,negativo
que orgullo de ver a una mujer con su capacidad tenacidad y conviccion de servicio,positivo
vamos toda mi familia con morena y claudia,negativo
la mejor opcion esclaudia  apoyo total,positivo
excelente entre mas piedras ponen en el caminoes porque mas perdidos se sienten y mientras mas piedras  mas personas se suben al tren4 t,positivo
los jovenes respaldamos contundentemente,positivo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
la futura gobernadora jalisco,positivo
nosotros estamos con morena claudia delgadillo gobernadora,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
es tiempo de morenaes tiempo de claudia,negativo
es un hecho que el iepc esta coludido con mc y es por eso que no querian aprobar todas las planillas de coalicion al igual las que encabeza el verde morena pt futuro y hagamos las naranjas podridas ya se van ganaremos la gobernatura de jalisco est ver mas,negativo
esclaudiadelgadillo votaporelcambio,negativo
votaporelcambio,negativo
la apoyo,positivo
la apoyo megaalinza,positivo
el cambio viene de la mano de claudia y kumamoto,negativo
hola algun lugar o video para ver tus propuestas por favor asi como claudia sheinbaum inicio su campana el primer dia con todas sus propuestas igual que amlo,negativo
estamos con ustedes saludos y abrazos a los dos,positivo
la apoyo,positivo
juntos lo podemos lograr,negativo
en donde estara hoy,negativo
muy bien saludos estamos con morena  esclaudia,positivo
siempre juntos siempre morena,negativo
kumamoto el ganador,negativo
proxima gobernadora,negativo
esclaudia sin duda alguna jalisco ya decidio,positivo
estamos con tigo caudia delgadillo  para seguir transformando nuestro  bello estado de jalisco unidos  lo lograremos,negativo
se ocupa fomentar la industria del calzado para dama guadalajara jalisco siempre a sido la capital mundial del calzado fino para dama y hoy la mano de obra se esta acabando los zapateros viejos se estan muriendo y quien va a ensenar a los jovenes la ma ver mas,negativo
alan becter zapatillas finas y como quieres el apoyo si entraron los chinos y se acabo todo el zapato fino es con cabrito pero las unicas ventas son sintetico,negativo
esperemos un exelente trabajo  para un futuro lleno de paz armonia y buena economia para jalisco y su gente,positivo
animo claudia estamos contigo los naranja ya se van los naranja ya se van,positivo
estamos con claudia  delgadillo todo jalisco  arriba  arriba  arriba,negativo
sonrie tendremos gobernadora senoras y senores,negativo
claudia gobernadora,negativo
que gusto me da vamos con todo sin mirar atras que el futuro es ahora,negativo
claudia  gobernadora,negativo
respaldo total a una mujer trabajadora y honesta,positivo
y en la colonia atlas tambien recuerde q ud dijo y su amigo q ivan a meter mas rutas de la 616 o quitela y meta el 330 espero cumplan,positivo
vamos voto masivo por la licclaudia delgadillo el pueblo esta con tigo y no te va a fallar este 2 de junio vamos por 4t vamos por morena,positivo
enhorabuena,negativo
no mas  verificacion no mas violencia no mas carruseles  ver mas,negativo
enhorabuena,negativo
la union hace la fuerza y estamos unidos contigo claudia delgadillo tu si gobernaras mejor a todo jalisco  te queremos claudia te queremos y arriba y adelante y rumbo ala victoria todo jalisco,positivo
muchas felicidades,positivo
lo compartimos con mucho gusto lider,negativo
apoyo total para los dos claudiadelgadillo pedrokumamoto,positivo
la oposicion no quiere que tengamos bienestar en el congreso votaron en contra del sistema de pensiones dignas,negativo
alfaro se va se retira de la politica el mc se va tambien ojala nunca regresen,negativo
eres una habladora abusiva claudia,negativo
que dios te acompane mi claudia el triunfo es contigo,positivo
contigo hasta el fin del mundo claudia,negativo
sera del lado de claudia,negativo
noemi santos porque claudia es honestidad,negativo
ya no vamos a permitir mas faltas de ese tipo como las del naranja,negativo
que gane claudia  es con claudia,negativo
la lucha con claudia sera historica,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayoriavamos por el plan c,positivo
es con actitud y con determinacion el triunfo saludos,positivo
esta gran coalicion es para todos,negativo
jonathan chavez ellos si nos garantizaran confianza,positivo
que gusto me da vamos con todo clauda gobernadora,negativo
viva la cuarta tranfomacion,negativo
se van unos y llegan otros mas corruptos jajajasiempre es lo mismo ahy esta el ejemplo de kumamoto traicionero solo buscan el dinero,negativo
viva morena ,negativo
felicidades guapisimisima claudia es la respuesta y en las urnas lo vamos a demostrar,positivo
renata gomez gracias  unidos vamos a demostrar que es posible,positivo
nosotros estamos con morena claudia delgadillo gobernadora,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
dios la bendiga,positivo
juntos por un cambio morena claudia delgadillo proxima gober,positivo
dios la bendiga,positivo
se ve se siente claudia esta present,negativo
mi voto a morena,negativo
con morena nos ira mejor esta mas que claro,negativo
viva claudia delgadillo como la primera gobernadora jalisco,negativo
voto por claudia delgadillo y por morena,positivo
morena al 100,positivo
voto masivo a morena claudia,positivo
la oposicion ya esta derrotada,negativo
morena sera capaz de cambiar todo lo mal que hemos estado estos ultimos anos,positivo
todo nuestro apoyo claudia delgadillo todo jalisco y la huerta estamos con usted vamos por la 4t,positivo
vamos al triunfo claudia gobernara,positivo
morena se lleva esta eleccion sin despeinarse senores no hay oposicion esclaudia,negativo
no esta sola mi lider,negativo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
indignante la forma en que estan llevando esta guerra sucia hay muchas publicaciones en la que este candidato no deja de mencionar  a claudia directamente lo unico que refleja es una profunda y enfermiza desesperacion por perder el poderdicen que p ver mas,negativo
mi voto seguro ya esta para claudia,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
saludos claudia,positivo
la apoyo votaporelcambio,positivo
votaporelcambio morena,negativo
megaalinza morena2024 la apoyo daniel garcia danielgarciacoordinadordetemaseducativos claudiadelgadillogobernadora,positivo
espero y gane y haga un buen cambio en tlaquepaque y no en su cuerpo como esa limon,negativo
ya se van los saqueadores y mentirosos de la naranjita jajaja con claudia hasta donde tope,positivo
ya sabemos no necesitan estar con su cantaleta sigan aventando kaka no van a ganar,negativo
viva la 4t,negativo
estoy contigo guapa,negativo
juan jose gonzalez velazquez estamos contigo claudia,negativo
juan jose gonzalez velazquez ella es hermosa,negativo
sin duda es la lider que necesitamos para transformar nuestra sociedad,positivo
ivana camacho gracias por el apoyo,positivo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
martha perez es tiempo de un cambio en nuestro jalisco,positivo
salvemos nuestro jalisco votemos morena y por nuestra candidata,negativo
la apoyo gracias por el apoyo,positivo
claudia destaca por su claridad en conocer las areas de oportunidad y su vision para implementar soluciones efectivas,negativo
asi es la victoria  vamos todos con morena viva claudoa nuestra candidata a gobernadora,positivo
viva morena que esta ayudando a mucha gente grande que no tenia para comer viva morena y arriba morena estado de mexico viva mexico con lopez obrador,positivo
axel vargas el cambio llegara muy pronto a jalisco,negativo
lo compartimos con mucho gusto saludos,positivo
angeles guatemala saludos,negativo
vamos toda mi familia con morena y claudia,negativo
lupita garcia vamos a lograr un cambio,positivo
su conocimiento profundo sobre las necesidades de nuestra comunidad y como abordarlas es incomparable,negativo
iris padilla sabemos de las necesidades del pueblo y estamos listos para hacer el cambio,positivo
tepa presente ,negativo
viva morena con todo lider mi primera gobernadora,negativo
doris nunez gracias por el apoyo saludos,positivo
yo con todo  vamos unidos podemos,positivo
la capacidad de claudia para identificar y trabajar en las areas de oportunidad de nuestra sociedad es exactamente la energia y direccion que necesitamos,negativo
ines contreras gracias por el apoyo,positivo
vamos por la victoria morena en jalisco sera realidad,positivo
unidad conclaudia  viva morena  viva morena viva el estado mas hermoso de mexico osea mi jalisco querido viva mexico,positivo
paola castillo viva jalisco,positivo
vamos con todo,negativo
se ve se siente claudia esta presente,negativo
enhorabuena,negativo
bishop lopez saludos,positivo
con usted va a progresar nuestro estado jalisco se va a transformar,negativo
andrea dominguez lara la transformacion de jalisco nadie la detiene,negativo
usted nos representa es la voz del pueblo que le brindan respaldo  lider lo hara muy bien,negativo
daniel avila gracias por el apoyo,positivo
mucho exito la apoyaremos con todo,negativo
hector pacheco gracias por el apoyo,positivo
su vision y compromiso son exactamente lo que necesitamos para un jalisco mejor,negativo
es la candidata del pueblo enfocada en areas criticas que transformaran nuestra sociedad para bien,negativo
morena sera capaz de cambiar todo lo mal que hemos estado estos ultimos anos,positivo
claudia dios te bendiga,positivo
su liderazgo es lo que necesitamos para un jalisco mas prospero y justo,positivo
la dedicacion de claudia para entender y actuar sobre lo que realmente necesita la gente la hace la candidata ideal,positivo
su profundo conocimiento de lo que la gente necesita es precisamente lo que jalisco requiere para transformarse y avanzar,negativo
es tiempo de una transformacion real con claudia,positivo
4t,negativo
tener a alguien como claudia que realmente conoce y siente el pulso del pueblo es lo que hace la diferencia jalisco no podria estar en mejores manos,negativo
la empatia y el compromiso genuino de claudia con las necesidades del pueblo son incomparables,negativo
su enfoque en soluciones practicas y su dedicacion al bienestar del pueblo son exactamente lo que nos llevara hacia adelante,negativo
votaporelcambio claudia te respaldamos desde lagos de moreno,negativo
ella es sin duda la candidata que jalisco necesita,positivo
hablar de claudia es hablar de alguien que ha dedicado su vida a entender y solucionar las problematicas de nuestra sociedad,negativo
y el pueblo tapatio unido por la 4t con claudia vamos a votar  por un cambio de gobierno,positivo
el conocimiento profundo y la experienca de claudia en las necesidades de la gente son evidentes jalisco merece una lider comprometida y capaz como ella,positivo
animo mi claudia,positivo
arriba las claudias,negativo
las mujeres en el centro,negativo
con claudia por un cambio radical   fuera mc prianistas,positivo
es refrescante ver a una candidata como claudia que no solo entiende los problemas a fondo sino que tambien sabe como solucionarlos,positivo
votaporelcambio morena,negativo
la apoyo votaporelcambio,positivo
morena se lleva esta eleccion sin despeinarse senores no hay oposicion esclaudia,negativo
esclaudiadelgadillo votaporelcambio,negativo
sin caminar sin platicar sin escuchar no se puede gobernar claudiasheinbaumpresidenta2024 claudiadelgadillogobernadora latransformacion estiempodemujeres la apoyo,positivo
juntos trabajemos por un jalisco mas unificado,negativo
noemi santos tenemos que hacer historia juntos,negativo
queremos tren hasta nestipac,negativo
la colonia bethel es con claudia delgadillo,positivo
en bethel te apoyamos el voto es 6 de 6 todo morena,positivo
aioria sagitario gracias a todos ustedes por su apoyo,positivo
es tiempo de morenaes tiempo de claudia,negativo
con morena nos ira mejor claudia es la mera mera,negativo
viva claudia,negativo
las mujeres seguiremos haciendo historia y que mejor que con una persona como claudia delgadillo,positivo
vamos claudia,negativo
bamos firmes al triunfo udtenga confiansa en el triunfo no dude primero dios y todo saldra bien usted es la proxima reina de todo jalisco le dise su amigo que ya conose,positivo
tan querida en jalisco nuestra futura gobernadora,positivo
es tiempo de grandes mujeres,negativo
la esperanza nunca muere que siga la 4t ahora en jalisco,positivo
amor con amor  estamos contigo claudia delgadillo,negativo
todos somos claudia delgadillo,negativo
asi es claudia delgadillo queremos la 4t  por eso yo sile voy levoy a claudia delgadillo mas por jalisco claudia sheinbaum en morena y 4t y en tlajomulco de zuniga  voy por lulu barrera seguimos avanzando con morena y la 4t,negativo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
yasevan fuera movimiento ciudadano fuera lemus fuera lemus jalisco merece estar mejorchemapresidente la apoyo,positivo
lo que realmente distingue a claudia es su origen y conexion con el pueblo,negativo
al ponerlos al frente demuestra fe en el futuro y en el potencial de mexico,positivo
oriana pacheco grandes cambios vienen para nosotros,negativo
es impresionante como claudia entiende a la perfeccion los problemas del pueblo gracias a su propia experiencia,positivo
raquel olvera estoy lista para el cambio,positivo
la propuesta de claudia de involucrar a los jovenes en el proceso de transformacion del pais es precisamente lo que necesitamos,positivo
romina huerta asi tiene que ser,negativo
su compromiso con la justicia social y la igualdad de oportunidades es genuino apoyar a claudia es creer en un futuro mejor para todos no solo para unos pocos,positivo
perla nunez estamos listos para el cambio,negativo
desde su amor por la educacion hasta su entendimiento intrinseco de los problemas del pueblo claudia se destaca como un faro de cambio y progreso,positivo
maira gonzales muchas gracias por el apoyo,positivo
su historia personal y su enfasis en la educacion como pilar de desarrollo nos muestra que tiene las raices y el entendimiento claro de nuestras necesidades,positivo
su compromiso con la colaboracion y la inclusion de los jovenes en el proceso de transformacion muestra un liderazgo inclusivo y progresista,positivo
mariela castillo el compromiso es con todas y todos vamos por el cambio,positivo
ella reconoce que los jovenes son el futuro de mexico y su compromiso de incluirlos es una bocanada de aire fresco en la politica,positivo
sandra fernandez estoy lista para el cambio,negativo
la dedicacion de claudia a involucrar a los jovenes en la transformacion del pais es realmente inspiradora,positivo
naomi molina en este proyecto de transformacion todos estan bienvenidos,positivo
el enfoque de claudia en la educacion publica y la juventud no es solo optimismo es un plan de accion,negativo
julieta rodriguez cruz tenemos grandes medidas para toda la ciudadania vamos a lograr grandes cambios,negativo
siempre preocupada por los mas necesitados  con claudia delgadillo si,negativo
ismael lozano gracias por el apoyo,positivo
la historia de claudia y su compromiso con la educacion publica es un claro ejemplo de su pasion por servir y transformar la sociedad,negativo
es raro encontrar a alguien en la politica que realmente entienda las necesidades de la gente porque las ha vivido,negativo
es evidente que su campana no es solo promesas sino un plan de accion real para el cambio,positivo
en lo que necesites cuenta conmigo claudia,negativo
aguita de chia y conmigo,negativo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
axel vargas gracias por el apoyo,positivo
usted es una mujer guerrera de lucha que representa firme los ideales de amlo y la transformacion,positivo
angeles guatemala la transformacion nadie la detiene,negativo
mujer de territorio no de escritorio asi la queremos ver siempre saludos desde puerto vallarta mi gober hermosa,positivo
mucho exito la apoyaremos con todo,negativo
mi admiracion y respeto es usted vamos arriba sera  nuestra proxima gobernadora,positivo
proxima gobernador de jalisco,positivo
claudia,negativo
vamos por la 4t saludos gobernadora,positivo
arriba claudia arriba la 4t,negativo
apoyo total a claudia,positivo
te apoyamos claudia delgadillo,positivo
resalta el liderazgo de la mujer tapatia es usted la mas preparada del momento por eso sera nuestra proxima gobernadora,positivo
asi merito ya se van animo claudia delgadillo,positivo
con las dos claudias a jalisco le ira bien,negativo
claudia usted sera nuestra gobernadora,negativo
claudia te amlo,negativo
vamos claudia,negativo
gobernadora gobernadora gobernadora esclaudia,negativo
la mas preparada para ser nuestra gobernadora,negativo
bien claudia arriba la 4t,negativo
todos con morena no hay de otra la transformacion del estado es inevitable,negativo
seguimos con morena y la 4t,negativo
adelante claudia y morenagracias a la politica de mc de talar y producir aguacate y agavey por no revizar la comision estatal del agua los pozos empresariales mismos que han sobre explotado el aguaa la falta de desasolve de la cuenca le ver mas,negativo
zapopan con usted,negativo
los naranjitas ya se van ,negativo
con todo mi clau mujer de palabra estamos con usted saludos desde zapotlanejo aqui sabemos que usted es la verdadera respuesta,positivo
y quien es pablo alfaro,negativo
muy bien saludos estamos con morena  esclaudia,positivo
que fea gente donde esta el respeto al derecho  ajeno es la paz por eso ya no hay valores y el mundo esta como esta,positivo
excelente que nos esten informando las tranzas y mentiras de lo de mc,positivo
lo mejor esta por venir pura 4t vamos arriba en las encuestas,negativo
la futura gobernadora jalisco,positivo
claudia delgadillo contigo vamos al,negativo
ya se van,negativo
saludos desde los altos de jalisco aqui la respaldamos y la defenderemos,positivo
ya se van los naranjitas que tanto dano le han hecho a los jaliscienses,negativo
creo que de alguna manera encajan ya que comenzo la desbandada de mc y llegaron con usted a morena ejemplo salvador caro,negativo
la mejor opcion esclaudia  apoyo total,positivo
mi claudia mi futura gobernadora   vamos con claudia mi gran apoyo,positivo
en el salto jalisco tiene total apoyo,positivo
con todo el poder del pueblo mi candidata,negativo
vamos a defender el voto ya estamos preparadosla 4t llego con claudia delgadillo,positivo
con usted  sin duda con la 4t llegara,negativo
estamos listos para ver a nuestra primer gobernadora en jalisco la apoyo,positivo
no mas gobiernos corruptos como mc jalisco esta listo para la alternancia con claudiadelgadillogobernadora en union con la apoyo lograremos que el tren de la transformacion lleve a tierras jaliscienses arriba la 4t,positivo
que se vaya el naranja de una buena vez,negativo
la apoyo con claudiadelgadillo,positivo
vamos claudia,negativo
contigo claudia delgadillo,negativo
voy con mi claudia querida,positivo
fuera las naranjas podridas de jaliscoelprofetonoesparzaconlasclaudias,negativo
respaldo total,negativo
muy bien por eso claudia delgadillo retiren ese engano y confusion para los ciudadanos,negativo
una eleccion segana con buenas propuestas contrabajo y onestidad,negativo
cierto,negativo
super,positivo
el trendelatransformacion avanza imparable para llegar a todo jalisco,negativo
 y se ira de paso aqui no lo queremos al tren de la  destruccion,negativo
araceli diaz gutierrez guardare tu comentario  haber quien  toma maletas va ,positivo
estamos con la primera mujer que cambiara la historia politica de jalisco,positivo
miss turismo estatal jalisco haremos historia,negativo
movimiento ciudadano dice que los tapatios gastamos mucha agua no lo digo yo sacaron spot en televisa,negativo
frank javi vela san y no lo dudo,negativo
no se ve el video candidata la exorto a que cambie su equipo de marketing,negativo
bamos con claudia por un mejor jalisco,negativo
eso es  lo que  se requiere  un programa  integral desde  causas  y  acciones  a tomar  muy bien  esperemos  y de verdad  lo hagan,positivo
 es claudia delgadillo en jalisco animo la cuarta transformacion llega a jaliscovamos juntos vamos unidos con la cuarta transformacion de  mexicosomos mayorias,positivo
maria teresa enciso gonzalez las alquilan para que publiquen el mismo texto,negativo
en este tema lo vamos a comprobar los de jalisco si nos cumple adelante con claudia delgadillo y si no la quitamos y ponemos a otro candidato sale ,negativo
vamos mi claudia si sepuede mi chula,negativo
como todo politico  prometer no empobrece  cumplir es lo que aniquila ,negativo
saludos claudia vamos a ver el problema de la laguna de zapotlan lla k en tiempos de lluvia se inunda el camino k atraviesa la misma cual es muy importante para entrar y salir y no entrar a la ciudad anos y anos tenemos ese gran problema,positivo
no se podra renovar pero si se puede cuidar lo que hay adelante morena jalisco ocupa la 4t a bebo que yes,negativo
excelente proyecto necesita mas apoyo chapala se levanta en apoyo a las claudias coordinados llegaremos lejos solucionando los graves problemas  anejos,positivo
lic claudia urge  que  haya coordinacion con el gobierno federal para el saneamiento de esta hermosa laguna  y devolverle la vocacion turistica que tuvo con una estrategia de movilidad y transporte   todos a votar por morena  por todo ,positivo
rene abbadie brizuela excelente comentario animo si se puede,positivo
lo del agua ninguna personasea del partido que sea no lo va a poder solucionar porque es un producto que no se puede renovarse han puesto a pensar que cuando se construyen casas se  utilizan muchos litros de agua para la mezcla  imaginense nomas ver mas,negativo
pierde el debate y se defiende con violencia de genero,negativo
cambioverdadero,negativo
claudia delgadillo tiene la mayor credibilidad voto masivo por morena,positivo
tambien te vas a robar el agua,negativo
bien dicho futura gobernadora que viva la 4t que viva amlo,positivo
no dijeron como lo haran porque realmente es muy dificil hacerlo porque no hay voluntad desde la ciudad de mexico guanajuato ni jalisco puras promesas imposibles de cumplir,positivo
esto me suena falso rick jajaja palabras son solo palabras,negativo
ups la verdad vote por morena y morena no se merece que este usted en ese partido no entiendo como esta terminando con la corrupcion y ahora tiene una master en esa materia,positivo
me cai que clachinflas no entendio ni maiz,negativo
bla bla bla y mas bla bla,negativo
